"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"21","Nashville Predators","82","48.189","47","25","10","41","104","0.634","58.38","51.77","53.00","43.02","37.93","53.14","31.14","27.38","53.21","2.52","1.9","56.96","2.22","1.84","54.59","25.39","21.04","54.69","15.29","12.66","54.71","2.03","1.56","56.66","13.30","87.71","9.3","8.03","53.66","6.88","5.96","53.57","1.43","0.99","59.09","20.83","83.36","16.08","12.97","55.35","8.42","6.7","55.71","0.6","0.56","51.74","7.17","91.59","28.42","25.66","52.55","15.37","13.66","52.95","0.48","0.35","57.66","3.10","97.44","8.08","93.06","1.011"
"22","Chicago Blackhawks","82","48.7407","48","28","6","39","102","0.622","60.09","51.38","53.91","43.61","38.82","52.90","32.8","29.52","52.62","2.26","1.93","53.97","2.27","2.18","51.08","27.49","24.15","53.24","16.93","15.47","52.25","1.97","1.7","53.71","11.65","89.01","10.6","10.52","50.17","8.36","8.25","50.33","1.26","1.17","51.92","15.05","85.88","16.92","13.59","55.46","8.56","7.23","54.21","0.71","0.54","56.87","8.29","92.56","27.16","22.93","54.22","15.27","13.22","53.60","0.29","0.2","58.35","1.88","98.45","6.88","93.48","1.004"
"23","Dallas Stars","82","47.0935","41","31","10","37","92","0.561","61.38","55.59","52.48","45.21","40.72","52.61","30.84","28.78","51.73","2.7","2.62","50.74","2.48","2.22","52.78","29.73","25.66","53.67","16.97","15.3","52.59","2.32","2.26","50.72","13.69","85.24","11.64","10.42","52.77","8.21","7.6","51.91","1.43","1.58","47.52","17.39","79.27","18.06","15.19","54.31","8.77","7.69","53.29","0.9","0.69","56.67","10.26","91.05","26.2","24.39","51.79","12.64","12.41","50.45","0.36","0.36","49.75","2.82","97.10","8.75","90.90","0.996"
"24","Colorado Avalanche","82","48.1628","39","31","12","29","90","0.549","46.7","62.32","42.84","34.96","45.11","43.66","26.41","32.17","45.08","2.29","2.37","49.16","1.79","2.44","42.35","21.02","27.36","43.45","13.36","16.33","44.99","1.91","1.93","49.72","14.29","88.18","8.47","11.36","42.72","6.41","8.4","43.30","1.29","1.33","49.12","20.09","84.10","12.52","16.01","43.88","6.94","7.93","46.68","0.62","0.59","51.09","8.95","92.50","21.18","28.69","42.48","11.81","14.91","44.21","0.36","0.44","44.62","3.02","97.03","8.68","92.63","1.013"
"25","Minnesota Wild","82","48.0407","46","28","8","42","100","0.610","54.73","51.7","51.42","41.13","37.35","52.41","29.63","26.7","52.60","2.52","2.22","53.13","2.17","1.82","54.38","24.15","21.42","53.00","14.85","12.78","53.73","2.15","1.84","53.80","14.46","85.58","10.08","7.79","56.40","7.69","5.74","57.26","1.58","1.17","57.42","20.53","79.61","14.07","13.59","50.87","7.16","7.04","50.42","0.57","0.67","45.91","8.00","90.42","25.93","25.16","50.76","14.09","12.97","52.07","0.36","0.34","51.05","2.54","97.35","8.49","91.69","1.002"
"26","Edmonton Oilers","82","49.6217","24","44","14","19","62","0.378","51.18","57.46","47.11","37.34","42.41","46.82","26.66","29.87","47.16","1.92","2.9","39.79","1.94","2.38","44.91","22.02","27.32","44.63","13.57","16.31","45.41","1.7","2.29","42.66","12.56","85.96","8.63","11.06","43.84","6.39","7.92","44.66","1.12","1.49","42.89","17.52","81.18","13.35","16.29","45.04","7.18","8.37","46.16","0.59","0.79","42.68","8.21","90.55","23.74","25.09","48.62","11.89","12.7","48.36","0.21","0.58","26.74","1.78","95.43","7.19","90.29","0.975"
"27","Winnipeg Jets","82","46.4291","43","26","13","36","99","0.604","56.3","48.84","53.55","41.01","36.54","52.88","29.24","26.33","52.63","2.27","1.92","54.14","2.24","2.01","52.68","25.98","23.25","52.77","15.43","13.84","52.71","1.94","1.74","52.74","12.59","87.42","10.56","9.17","53.52","7.47","6.66","52.84","1.35","1.14","54.16","18.09","82.84","15.43","14.02","52.39","7.95","7.17","52.58","0.6","0.6","49.85","7.49","91.65","24.79","21.33","53.75","12.85","11.38","53.02","0.33","0.17","66.14","2.54","98.53","7.77","92.69","1.005"
"28","Arizona Coyotes","82","48.3313","24","50","8","19","56","0.341","53.14","58.94","47.42","38.85","44.04","46.87","27.43","31.45","46.58","1.6","2.64","37.76","1.97","2.28","46.37","22.61","27.06","45.52","12.96","16.48","44.03","1.35","2.27","37.23","10.39","86.22","8.81","10.92","44.64","6.3","8.37","42.95","0.71","1.5","32.01","11.23","82.05","13.72","16.18","45.89","6.66","8.1","45.10","0.64","0.77","45.41","9.60","90.52","25.16","27.42","47.85","12.82","13.93","47.94","0.25","0.35","41.69","1.97","97.46","5.84","91.60","0.974"
"29","New York Islanders","82","48.8258","47","28","7","40","101","0.616","61.58","53.86","53.34","45.41","37.76","54.60","32.68","27.26","54.52","2.56","2.35","52.14","2.72","2.24","54.82","31.72","27.64","53.44","19.73","16.23","54.87","2.23","2.01","52.56","11.30","87.60","14.09","10.92","56.33","10.65","8.62","55.26","1.55","1.33","53.77","14.58","84.52","17.63","16.68","51.38","9.08","7.6","54.41","0.68","0.67","50.07","7.44","91.14","24.63","21.59","53.29","11.87","9.88","54.57","0.31","0.33","48.94","2.64","96.69","7.83","91.38","0.992"
"30","Carolina Hurricanes","82","49.2957","30","41","11","25","71","0.433","56.09","52.5","51.66","41.37","38.86","51.57","29.56","27.04","52.22","1.87","2.42","43.50","2.29","2.16","51.39","24.86","24.95","49.92","14.38","14.62","49.59","1.53","2.07","42.46","10.62","85.85","9.94","10.51","48.60","7.13","7.46","48.89","1.03","1.51","40.51","14.40","79.77","14.85","14.47","50.65","7.22","7.16","50.23","0.49","0.55","47.06","6.83","92.25","26.35","23.2","53.18","14.36","11.62","55.27","0.3","0.35","46.63","2.12","97.00","6.31","91.04","0.974"
